year,lyr_des,gen_cate,lyr_gen,n_lyr,n_gen,n_lyr_gen,total,p_lyrics,p_lyr_lci,p_lyr_uci,p_genre,p_gen_lci,p_gen_uci,p_lyrgen,p_lyrgen_lci,p_lyrgen_uci
2012,alcohol,gen_rock,"alcohol,gen_rock",303,1844,91,4895,6.189989785495404,5.538988882477604,6.910736391650166,37.67109295199183,36.31368499247068,39.0479819352339,4.934924078091106,4.012109761469644,6.050219943387869
2012,other_illicit,gen_country,"other_illicit,gen_country",1614,1204,501,4895,32.972420837589375,31.65915485210992,34.3125984314361,24.59652706843718,23.400282018630563,25.832949858984662,41.61129568106312,38.81705198384232,44.45969338321781
2012,other_illicit,gen_hiphop,"other_illicit,gen_hiphop",1614,1080,338,4895,32.972420837589375,31.65915485210992,34.3125984314361,22.06332992849847,20.913813898884335,23.25704443995774,31.296296296296294,28.556179821936468,34.17121078725788
2012,other_illicit,gen_rap,"other_illicit,gen_rap",1614,1525,788,4895,32.972420837589375,31.65915485210992,34.3125984314361,31.15423901940756,29.861966326591254,32.47630036045004,51.67213114754098,49.13024722612322,54.205502364516256
2012,other_illicit,gen_rock,"other_illicit,gen_rock",1614,1844,469,4895,32.972420837589375,31.65915485210992,34.3125984314361,37.67109295199183,36.31368499247068,39.0479819352339,25.433839479392624,23.472287008027443,27.498924084583475
2013,marijuana,gen_country,"marijuana,gen_country",949,1224,227,4840,19.607438016528924,18.503105102622104,20.760422154943697,25.28925619834711,24.074451208474724,26.543585884067944,18.545751633986928,16.42907320528331,20.862930236417444
2013,marijuana,gen_hiphop,"marijuana,gen_hiphop",949,1276,297,4840,19.607438016528924,18.503105102622104,20.760422154943697,26.36363636363636,25.131272941553885,27.633801763313414,23.275862068965516,21.001770470945104,25.713084723206375
2013,marijuana,gen_rap,"marijuana,gen_rap",949,1497,517,4840,19.607438016528924,18.503105102622104,20.760422154943697,30.9297520661157,29.63295771943667,32.257033988791484,34.535738142952574,32.13666244626167,37.015072706684485
2013,marijuana,gen_rock,"marijuana,gen_rock",949,1670,218,4840,19.607438016528924,18.503105102622104,20.760422154943697,34.50413223140496,33.16739924878051,35.865633036030474,13.053892215568863,11.49421984627576,14.786281279145133
2013,alcohol,gen_country,"alcohol,gen_country",110,1224,44,4840,2.272727272727273,1.8797845947485685,2.7432255147001996,25.28925619834711,24.074451208474724,26.543585884067944,3.594771241830065,2.65353343917864,4.837625548037122
2013,alcohol,gen_hiphop,"alcohol,gen_hiphop",110,1276,19,4840,2.272727272727273,1.8797845947485685,2.7432255147001996,26.36363636363636,25.131272941553885,27.633801763313414,1.489028213166144,0.9246734956119564,2.361344167162925
2013,alcohol,gen_rap,"alcohol,gen_rap",110,1497,44,4840,2.272727272727273,1.8797845947485685,2.7432255147001996,30.9297520661157,29.63295771943667,32.257033988791484,2.9392117568470275,2.1680556330425915,3.960575927532881
2013,alcohol,gen_rock,"alcohol,gen_rock",110,1670,45,4840,2.272727272727273,1.8797845947485685,2.7432255147001996,34.50413223140496,33.16739924878051,35.865633036030474,2.694610778443114,1.9941730602343062,3.62046048733613
2013,other_illicit,gen_country,"other_illicit,gen_country",1586,1224,446,4840,32.768595041322314,31.450167043513694,34.114567553978134,25.28925619834711,24.074451208474724,26.543585884067944,36.43790849673202,33.74806405189363,39.21389801832338
2013,other_illicit,gen_hiphop,"other_illicit,gen_hiphop",1586,1276,457,4840,32.768595041322314,31.450167043513694,34.114567553978134,26.36363636363636,25.131272941553885,27.633801763313414,35.81504702194358,33.19209118325116,38.52442175549701
2013,other_illicit,gen_rap,"other_illicit,gen_rap",1586,1497,646,4840,32.768595041322314,31.450167043513694,34.114567553978134,30.9297520661157,29.63295771943667,32.257033988791484,43.15297261189045,40.6315928878476,45.70986876362855
2013,other_illicit,gen_rock,"other_illicit,gen_rock",1586,1670,524,4840,32.768595041322314,31.450167043513694,34.114567553978134,34.50413223140496,33.16739924878051,35.865633036030474,31.37724550898204,29.167313257634387,33.673804455511686
2014,marijuana,gen_country,"marijuana,gen_country",821,1146,169,4829,17.001449575481466,15.958193644447555,18.09767662745298,23.731621453717125,22.542702056576864,24.962660648906297,14.74694589877836,12.770914076512813,16.96351833586413
2014,marijuana,gen_hiphop,"marijuana,gen_hiphop",821,1357,312,4829,17.001449575481466,15.958193644447555,18.09767662745298,28.101056119279356,26.840868849049365,29.396341005165898,22.991893883566693,20.795715800682053,25.34305644153995
2014,marijuana,gen_rap,"marijuana,gen_rap",821,1321,343,4829,17.001449575481466,15.958193644447555,18.09767662745298,27.35556015738248,26.106419445005958,28.640995740491036,25.965177895533685,23.636302272832495,28.4356614952335
2014,marijuana,gen_rock,"marijuana,gen_rock",821,1308,214,4829,17.001449575481466,15.958193644447555,18.09767662745298,27.086353282253057,25.841309617319336,28.36812423559671,16.36085626911315,14.4189254754296,18.503544346842805
2014,alcohol,gen_country,"alcohol,gen_country",342,1146,91,4829,7.082211638020294,6.3824260996361275,7.851199824523082,23.731621453717125,22.542702056576864,24.962660648906297,7.940663176265271,6.47253299063075,9.697610371973491
2014,alcohol,gen_hiphop,"alcohol,gen_hiphop",342,1357,134,4829,7.082211638020294,6.3824260996361275,7.851199824523082,28.101056119279356,26.840868849049365,29.396341005165898,9.874723655121592,8.364826797191318,11.616394208697622
2014,alcohol,gen_rap,"alcohol,gen_rap",342,1321,55,4829,7.082211638020294,6.3824260996361275,7.851199824523082,27.35556015738248,26.106419445005958,28.640995740491036,4.163512490537472,3.179511269975275,5.422581306836769
2014,alcohol,gen_rock,"alcohol,gen_rock",342,1308,87,4829,7.082211638020294,6.3824260996361275,7.851199824523082,27.086353282253057,25.841309617319336,28.36812423559671,6.651376146788992,5.389421187127697,8.174350822766636
2014,other_illicit,gen_country,"other_illicit,gen_country",1594,1146,473,4829,33.008904535100434,31.686322605984714,34.358708509511416,23.731621453717125,22.542702056576864,24.962660648906297,41.273996509598604,38.414304604588196,44.192884021845806
2014,other_illicit,gen_hiphop,"other_illicit,gen_hiphop",1594,1357,490,4829,33.008904535100434,31.686322605984714,34.358708509511416,28.101056119279356,26.840868849049365,29.396341005165898,36.109064112011794,33.5598488668259,38.73783255551429
2014,other_illicit,gen_rap,"other_illicit,gen_rap",1594,1321,505,4829,33.008904535100434,31.686322605984714,34.358708509511416,27.35556015738248,26.106419445005958,28.640995740491036,38.22861468584406,35.60857573438677,40.91790181612597
2014,other_illicit,gen_rock,"other_illicit,gen_rock",1594,1308,453,4829,33.008904535100434,31.686322605984714,34.358708509511416,27.086353282253057,25.841309617319336,28.36812423559671,34.63302752293578,32.06545513002854,37.29193003406106
2015,marijuana,gen_country,"marijuana,gen_country",870,1166,188,4806,18.102372034956304,17.029254089411687,19.226927726439232,24.26133999167707,23.060071627846057,25.50407430562216,16.123499142367066,14.083982742114193,18.390005113180116
2015,marijuana,gen_hiphop,"marijuana,gen_hiphop",870,1546,348,4806,18.102372034956304,17.029254089411687,19.226927726439232,32.168123179359135,30.851887709404487,33.513066373242445,22.509702457956017,20.46624022936056,24.691553633245693
2015,marijuana,gen_rap,"marijuana,gen_rap",870,1711,344,4806,18.102372034956304,17.029254089411687,19.226927726439232,35.6013316687474,34.249299594896485,36.976539888006364,20.1052016364699,18.24593782347107,22.10045903073568
2015,marijuana,gen_rock,"marijuana,gen_rock",870,757,51,4806,18.102372034956304,17.029254089411687,19.226927726439232,15.751144402829794,14.738528545694555,16.819019294347736,6.737120211360634,5.1033980110303006,8.823706669704213
2015,alcohol,gen_country,"alcohol,gen_country",196,1166,42,4806,4.078235538909696,3.5450397420732567,4.686144944306967,24.26133999167707,23.060071627846057,25.50407430562216,3.6020583190394513,2.639109039880017,4.881800201326366
2015,alcohol,gen_hiphop,"alcohol,gen_hiphop",196,1546,36,4806,4.078235538909696,3.5450397420732567,4.686144944306967,32.168123179359135,30.851887709404487,33.513066373242445,2.3285899094437257,1.6594625868068362,3.244066255684916
2015,alcohol,gen_rap,"alcohol,gen_rap",196,1711,48,4806,4.078235538909696,3.5450397420732567,4.686144944306967,35.6013316687474,34.249299594896485,36.976539888006364,2.805376972530684,2.097199963981276,3.7328149599627243
2015,alcohol,gen_rock,"alcohol,gen_rock",196,757,6,4806,4.078235538909696,3.5450397420732567,4.686144944306967,15.751144402829794,14.738528545694555,16.819019294347736,0.7926023778071334,0.32259958330231037,1.8077416024809778
2015,other_illicit,gen_country,"other_illicit,gen_country",1582,1166,408,4806,32.91718684977112,31.592466744204845,34.269407478853545,24.26133999167707,23.060071627846057,25.50407430562216,34.99142367066895,32.26522484844978,37.817732316316885
2015,other_illicit,gen_hiphop,"other_illicit,gen_hiphop",1582,1546,653,4806,32.91718684977112,31.592466744204845,34.269407478853545,32.168123179359135,30.851887709404487,33.513066373242445,42.238033635187584,39.76608266398186,44.74896722512003
